cui,drug_name
C0718136    ,a-25
C0718147    ,aa&c
C0663655    ,abacavir
C4042342    ,abaloparatide
C0965390    ,abarelix
C1619966    ,abatacept
C0701941    ,abbokinase
C0288672    ,abciximab
C0281209    ,abelcet
C3852841    ,abemaciclib
C1172637    ,abetimus
C1170019    ,abilify
C0754011    ,abiraterone
C3528807    ,abletex
C2719424    ,abobotulinumtoxina
C2949622    ,abr-90
C1564985    ,abraxane
C0939672    ,abreva
C1710432    ,absorbine
C3473489    ,absorica
C2961835    ,abstral
C3713436    ,abt-925
C4078312    ,acalabrutinib
C2608641    ,acam2000
C0284941    ,acamprosate
C2366406    ,acanya
C0050393    ,acarbose
C2949711    ,acarexx
C0526502    ,accolate
C1620450    ,accu
C1615190    ,accuhist
C1170020    ,accuneb
C0244580    ,accupril
C0591029    ,accupro
C0591030    ,accuretic
C0699581    ,accutane
C1703095    ,accu-tropicamide
C0718191    ,accuzyme
C0000946    ,acebutolol
C0050402    ,acecarbromal
C0050403    ,aceclofenac
C0050407    ,aceglutamide
C0728746    ,acel-imune
C0050408    ,acemannan
C0050409    ,acemetacin
C0000956    ,acenocoumarol
C0875950    ,aceon
C0729009    ,acephen
C0591031    ,acepril
C0000959    ,acepromazine
C0608826    ,aceprometazine
C0718192    ,acerola
C0772228    ,acesulfame
C0718194    ,aceta
C1330030    ,acetadote
C3265795    ,acetadrink
C3163532    ,acetadryl
C0718195    ,aceta-gesic
C0000966    ,acetaldehyde
C0000970    ,acetaminophen
C0000973    ,acetanilide
C0718205    ,acetasol
C0000975    ,acetate
C0000981    ,acetazolamide
C0771559    ,acetiamine
C0718209    ,acetocot
C0000992    ,acetohexamide
C0001002    ,acetone
C0050458    ,acetophenazine
C0050521    ,acetoxolone
C1262747    ,acetoxyl
C0001040    ,acetylcarnitine
C0050505    ,acetylcellulose
C0001041    ,acetylcholine
C0001044    ,acetylcholinesterase
C0001047    ,acetylcysteine
C0520442    ,acetyldigitoxin
C0001050    ,acetyldigoxin
C0001050    ,acetyldigoxins
C0001052    ,acetylene
C0001056    ,acetylglucosamine
C1509236    ,acetyltryptophanate
C0740484    ,achromycin
C0001367    ,aciclovir
C0718215    ,acidophilus
C0718210    ,aci-jel
C0718137    ,a-cillin
C0875952    ,aciphex
C0050558    ,acipimox
C0050559    ,acitretin
C0591033    ,aclacin
C1589729    ,aclaro
C0001143    ,aclarubicin
C2699757    ,aclidinium
C0718216    ,aclovate
C0718220    ,acne-10
C0718221    ,acne-5
C1263143    ,acnecide
C0718223    ,acne-clear
C2963073    ,acneclir
C1262749    ,acnegel
C2920300    ,acnevir
C2947975    ,acneworx
C0718224    ,acnigel
C0718225    ,acnomel
C0718226    ,acnotex
C0731727    ,acoflam
C4048281    ,aconitate
C0001157    ,aconite
C0001159    ,aconitine
C0939245    ,acova
C0001187    ,acriflavine
C0301311    ,acrisorcin
C0054340    ,acrivastine
C0050587    ,acrylamide
C0101303    ,acrylate
C3535830    ,acryloyldimethyltaurate
C0718228    ,actacin
C0718229    ,actagen
C0718230    ,actahist
C0718231    ,actamin
C0718232    ,actamine
C0718233    ,actedril
C2740854    ,actemra
C0718151    ,acth-80
C0718234    ,acthar
C0731347    ,acthib
C0251514    ,acthrel
C0305143    ,actibine
C0718235    ,acticin
C3848682    ,acticlate
C1602548    ,acticon
C0701509    ,actidil
C1564677    ,actidose
C0718238    ,actidose-aqua
C0050631    ,actifed
C0718244    ,actigall
C0678113    ,actilyse
C0813623    ,actimmune
C0733396    ,actinex
C0718245    ,actiq
C0761924    ,actisite
C0701942    ,activase
C0875953    ,activella
C3268287    ,activeoxy
C1996201    ,actonel
C0875954    ,actos
C0718249    ,actron
C1601796    ,acuflex
C3667621    ,acuguard
C0592931    ,acular
C0600131    ,acupan
C2718635    ,acuvail
C0001367    ,acyclovir
C1602180    ,acylovir
C0718255    ,acys-5
C1652085    ,aczone
C1640737    ,adacel
C0718256    ,adagen
C0590658    ,adalat
C0591037    ,adalate
C1122087    ,adalimumab
C0165631    ,adapalene
C0728756    ,adapin
C3530455    ,adasuve
C0718258    ,adbeon
C3192355    ,adcetris
C2709986    ,adcirca
C0591039    ,adcortyl
C2741112    ,addaprin
C0290795    ,adderall
C1170024    ,adderall-xr
C4051421    ,addyi
C0050175    ,adefovir
C0036002    ,ademetionine
C3667657    ,adempas
C0001407    ,adenine
C0813510    ,adenocard
C0718261    ,adeno-jec
C0718262    ,adenoscan
C0001443    ,adenosine
C0283075    ,adequan
C0718265    ,adgan
C0591041    ,adifax
C0001520    ,adipex-p
C0001521    ,adiphenine
C0021971    ,adipiodone
C0718266    ,adipost
C0590671    ,adizem
C0590672    ,adizem-sr
C0590673    ,adizem-xl
C0718267    ,adlone-40
C0718268    ,adlone-80
C4276110    ,adlyxin
C4535340    ,admelog
C1171126    ,adoxa
C0101700    ,adrafinil
C2740856    ,adrenaclick
C1963284    ,adrenalin
C0050876    ,adrenalone
C0718271    ,adrenocot
C0085752    ,adriamycin
C0699374    ,adrucil
C0718273    ,adsorbocarpine
C0718274    ,adsorbonac
C0965130    ,advair
C1121259    ,advantage-s
C3490290    ,advantame
C4520050    ,advantus
C1815260    ,advate
C1121704    ,advicor
C0593507    ,advil
C1529865    ,advocin
C4083869    ,adynovate
C4083432    ,adzenys
C0718286    ,aeroaid
C0718284    ,aerobid
C0718287    ,aerodine
C1602274    ,aerohist
C0700836    ,aerolate
C0731376    ,aerolin
C1235707    ,aerolin-400
C0701262    ,aeroseb-dex
C0699385    ,aeroseb-hc
C1112870    ,aerosol
C3265689    ,aerospan
C0699108    ,aerosporin
C0718290    ,aerozoin
C2987648    ,afatinib
C0718138    ,a-fil
C2682856    ,afinitor
C1170025    ,aflaxen
C1134659    ,aflibercept
C3692449    ,afoxolaner
C0731377    ,afrazine
C3834216    ,afrezza
C0718291    ,afrin
C0718296    ,afrinol
C4256998    ,afstyla
C1564411    ,aftate
C3872100    ,aftera
C4224873    ,after-bug
C3848670    ,afterpill
C0001771    ,agar
C0754187    ,agenerase
C0656369    ,aggrastat
C0732282    ,aggrenox
C1602505    ,agistam
C0718299    ,agoral
C0308274    ,agri-cillin
C2960867    ,agrimectin
C2917835    ,agri-mectin
C4291403    ,agrimycin
C0718300    ,agrylin
C1815002    ,ahf-m
C1601698    ,ahist
C0701090    ,a-hydrocort
C2741124    ,airacof
C4473482    ,airduo
C0718304    ,airet
C3257051    ,airmit
C0591047    ,airomir
C1602316    ,air-raid
C0051033    ,ajmalicine
C0001888    ,ajmaline
C0718305    ,akarpine
C0718155    ,ak-beta
C0718156    ,ak-chlor
C0718157    ,ak-cide
C0701902    ,ak-con
C0305104    ,ak-con-a
C0718158    ,ak-dex
C0718159    ,ak-dilate
C0718160    ,ak-fluor
C0591048    ,akineton
C0718161    ,ak-nacl
